lr,d_model,n_layers,context_len,batch_size,beta2,dropout,warmup_steps,val_acc_last,time_sec
0.0013000000000000002,256,2,64,32,0.9,0.0,0,0.48828125,65.94883298873901
0.0013000000000000002,256,2,64,32,0.9,0.0,200,0.48828125,66.97869324684143
0.0013000000000000002,256,1,64,32,0.999,0.0,200,0.48046875,35.32330799102783
0.0013000000000000002,256,1,64,32,0.999,0.0,0,0.48046875,34.472272872924805
0.0013000000000000002,256,2,64,32,0.95,0.0,200,0.4765625,63.55821490287781
0.0013000000000000002,256,2,64,32,0.95,0.0,0,0.4765625,69.43884420394897
0.0013000000000000002,256,1,64,32,0.95,0.0,200,0.4609375,33.340457916259766
0.0013000000000000002,256,1,64,32,0.95,0.0,0,0.4609375,33.1575767993927
0.0013000000000000002,256,1,64,32,0.9,0.0,200,0.44921875,32.881473779678345
0.0013000000000000002,256,1,64,32,0.9,0.0,0,0.44921875,32.16780400276184
0.0013000000000000002,256,2,64,32,0.9,0.1,0,0.44921875,66.4488410949707
0.0013000000000000002,256,2,64,32,0.9,0.1,200,0.44921875,68.70287203788757
0.001,256,1,64,32,0.9,0.0,0,0.4453125,41.23594284057617
0.001,256,1,64,32,0.9,0.0,200,0.4453125,41.619603872299194
0.0013000000000000002,256,2,64,32,0.999,0.1,200,0.44140625,70.07799673080444
0.0013000000000000002,256,2,64,32,0.999,0.1,0,0.44140625,68.72137308120728
0.0013000000000000002,256,2,64,32,0.999,0.0,200,0.44140625,64.83254098892212
0.0013000000000000002,256,2,64,32,0.999,0.0,0,0.44140625,62.075737953186035
0.001,256,2,64,32,0.9,0.0,200,0.4375,70.39608907699585
0.001,256,2,64,32,0.9,0.0,0,0.4375,73.71585726737976
0.001,256,1,64,32,0.999,0.0,0,0.43359375,34.70217323303223
0.001,256,1,64,32,0.999,0.0,200,0.43359375,35.715606927871704
0.0013000000000000002,256,1,64,32,0.95,0.1,0,0.43359375,34.984649896621704
0.0013000000000000002,256,1,64,32,0.95,0.1,200,0.43359375,34.276999950408936
0.0013000000000000002,256,1,64,32,0.9,0.1,0,0.4296875,33.07932114601135
0.0013000000000000002,256,1,64,32,0.9,0.1,200,0.4296875,32.95789909362793
0.001,256,2,64,32,0.999,0.0,0,0.42578125,72.17244124412537
0.001,256,2,64,32,0.999,0.0,200,0.42578125,70.09553527832031
0.0013000000000000002,256,1,64,32,0.999,0.1,0,0.42578125,36.436432123184204
0.001,256,1,64,32,0.95,0.0,200,0.42578125,34.95979309082031
0.0013000000000000002,256,1,64,32,0.999,0.1,200,0.42578125,34.48401093482971
0.001,256,1,64,32,0.95,0.0,0,0.42578125,34.49485397338867
0.001,256,2,64,32,0.9,0.1,200,0.41796875,70.33646702766418
0.0013000000000000002,256,2,64,32,0.95,0.1,0,0.41796875,62.883984088897705
0.0013000000000000002,256,2,64,32,0.95,0.1,200,0.41796875,62.87782096862793
0.001,256,2,64,32,0.9,0.1,0,0.41796875,68.0280933380127
0.001,256,1,64,32,0.95,0.1,200,0.41796875,36.60291600227356
0.001,256,1,64,32,0.95,0.1,0,0.41796875,36.30547213554382
0.001,256,1,64,32,0.999,0.1,200,0.4140625,34.78575682640076
0.001,256,1,64,32,0.999,0.1,0,0.4140625,33.08205223083496
0.001,256,2,64,32,0.95,0.0,200,0.4140625,69.97074484825134
0.001,256,2,64,32,0.95,0.0,0,0.4140625,71.30700707435608
0.001,256,2,64,32,0.999,0.1,200,0.41015625,66.18240594863892
0.001,256,2,64,32,0.999,0.1,0,0.41015625,67.98819923400879
0.001,256,1,64,32,0.9,0.1,0,0.40625,37.84170603752136
0.001,256,1,64,32,0.9,0.1,200,0.40625,37.124829053878784
0.0007,256,1,64,32,0.999,0.0,0,0.39453125,36.75244688987732
0.0007,256,1,64,32,0.999,0.0,200,0.39453125,37.323318004608154
0.001,256,2,64,32,0.95,0.1,200,0.390625,71.36728501319885
0.001,256,2,64,32,0.95,0.1,0,0.390625,73.76331901550293
0.0007,256,1,64,32,0.9,0.0,0,0.38671875,30.95247197151184
0.0007,256,1,64,32,0.9,0.0,200,0.38671875,29.90941309928894
0.0007,256,1,64,32,0.95,0.0,0,0.3828125,31.99404788017273
0.0007,256,1,64,32,0.95,0.0,200,0.3828125,32.19030404090881
0.0007,256,1,64,32,0.95,0.1,0,0.375,33.99436807632446
0.0007,256,1,64,32,0.95,0.1,200,0.375,33.407246828079224
0.0007,256,1,64,32,0.9,0.1,0,0.3671875,31.2954158782959
0.0007,256,1,64,32,0.9,0.1,200,0.3671875,31.926993131637573
0.0007,256,1,64,32,0.999,0.1,200,0.36328125,38.74939179420471
0.0007,256,2,64,32,0.95,0.0,200,0.36328125,66.0907130241394
0.0007,256,2,64,32,0.95,0.0,0,0.36328125,68.99854803085327
0.0007,256,1,64,32,0.999,0.1,0,0.36328125,40.2359778881073
0.0007,256,2,64,32,0.9,0.0,200,0.359375,64.27684593200684
0.0007,256,2,64,32,0.9,0.0,0,0.359375,68.72626304626465
0.0007,256,2,64,32,0.999,0.1,0,0.35546875,70.26485800743103
0.0007,256,2,64,32,0.999,0.0,0,0.35546875,71.52804207801819
0.0007,256,2,64,32,0.999,0.0,200,0.35546875,73.06354808807373
0.0007,256,2,64,32,0.999,0.1,200,0.35546875,72.01940083503723
0.0007,256,2,64,32,0.9,0.1,0,0.34375,70.74321722984314
0.0007,256,2,64,32,0.9,0.1,200,0.34375,69.32859969139099
0.0007,256,2,64,32,0.95,0.1,0,0.33984375,75.33924913406372
0.0007,256,2,64,32,0.95,0.1,200,0.33984375,74.63525891304016
