batch_size,lr,d_model,n_layers,context_len,val_acc_last,time_sec
32,0.001,256,1,64,0.43359375,38.239948987960815
32,0.001,256,2,64,0.42578125,75.64123010635376
32,0.001,256,2,32,0.390625,36.54044818878174
32,0.001,128,1,64,0.38671875,15.904347896575928
32,0.001,256,1,32,0.3828125,20.459416151046753
32,0.001,128,2,32,0.359375,15.808144807815552
32,0.001,128,2,64,0.35546875,31.152960062026978
32,0.0005,256,1,32,0.34375,18.82445526123047
32,0.0005,256,1,64,0.33984375,33.35017704963684
32,0.001,128,1,32,0.33984375,8.5034339427948
32,0.0005,256,2,32,0.3359375,35.05387592315674
32,0.0005,256,2,64,0.3359375,67.33397603034973
32,0.0005,128,1,32,0.3203125,8.772791862487793
32,0.0005,128,2,32,0.31640625,15.649518013000488
32,0.0005,128,1,64,0.2890625,16.663554668426514
32,0.0005,128,2,64,0.2734375,27.521543979644775
32,0.0001,256,1,32,0.265625,18.35527801513672
32,0.0001,128,1,32,0.22265625,7.825088024139404
32,0.0001,256,2,32,0.2109375,39.885416984558105
32,0.0001,128,2,32,0.19921875,14.279015064239502
32,0.0001,256,1,64,0.19140625,35.36220383644104
32,0.0001,256,2,64,0.16796875,69.41189813613892
32,0.0001,128,1,64,0.1640625,14.812160968780518
32,0.0001,128,2,64,0.1328125,28.84669065475464
