LR,WARMUP_STEPS,BATCH_SIZE,CONTEXT_LEN,N_LAYERS,N_HEADS,D_MODEL,D_FF,val_acc_last,time_sec
0.001,300,32,32,2,2,128,512,0.36328125,15.433765172958374
0.001,100,32,32,2,2,128,512,0.359375,12.599688291549683
0.001,1000,32,64,2,2,128,512,0.3515625,36.541640281677246
0.0005,300,32,32,2,2,128,512,0.34765625,17.789433002471924
0.001,300,32,64,2,2,128,512,0.34375,31.667333841323853
0.001,1000,32,32,2,2,128,512,0.34375,21.282620191574097
0.001,100,32,64,2,2,128,512,0.3359375,26.12424325942993
0.001,100,32,128,2,2,128,512,0.3203125,75.25305414199829
0.0005,100,32,32,2,2,128,512,0.3203125,17.37863278388977
0.001,300,32,128,2,2,128,512,0.31640625,77.30518007278442
0.0005,1000,32,32,2,2,128,512,0.28515625,18.475197792053223
0.0005,100,32,64,2,2,128,512,0.28515625,38.076184034347534
0.0003,300,32,32,2,2,128,512,0.28125,18.525919914245605
0.0005,300,32,64,2,2,128,512,0.28125,34.456745862960815
0.0005,1000,32,64,2,2,128,512,0.27734375,34.798588275909424
0.0003,100,32,32,2,2,128,512,0.2734375,17.314248085021973
0.0001,1000,32,128,2,2,128,512,0.265625,75.93994998931885
0.0001,1000,32,64,2,2,128,512,0.265625,32.72115874290466
0.0003,300,32,128,2,2,128,512,0.26171875,80.73805475234985
0.0005,100,32,128,2,2,128,512,0.26171875,82.56111001968384
0.0003,100,32,128,2,2,128,512,0.26171875,80.30506706237793
0.0005,1000,32,128,2,2,128,512,0.2578125,79.42358469963074
0.0005,300,32,128,2,2,128,512,0.2578125,80.13138103485107
0.0003,300,32,64,2,2,128,512,0.2578125,35.46544408798218
0.0003,1000,32,128,2,2,128,512,0.2578125,78.22987508773804
0.0001,100,32,64,2,2,128,512,0.25390625,40.16869401931763
0.0001,100,32,128,2,2,128,512,0.25390625,88.64316892623901
0.0001,300,32,64,2,2,128,512,0.25390625,33.636807918548584
0.0001,300,32,128,2,2,128,512,0.25390625,71.31199073791504
0.0003,100,32,64,2,2,128,512,0.25390625,34.53576612472534
0.0003,1000,32,32,2,2,128,512,0.25,18.01579523086548
0.001,1000,32,128,2,2,128,512,0.25,76.3939299583435
0.0001,100,32,32,2,2,128,512,0.25,17.71734309196472
0.0001,300,32,32,2,2,128,512,0.25,19.674486875534058
0.0001,1000,32,32,2,2,128,512,0.2421875,16.158329248428345
0.0003,1000,32,64,2,2,128,512,0.23828125,34.06853699684143
