LR,WARMUP_STEPS,BATCH_SIZE,CONTEXT_LEN,N_LAYERS,N_HEADS,D_MODEL,D_FF,MODEL_VARIANT,val_acc_last,time_sec
0.001,300,32,32,2,2,128,512,local_global,0.31640625,19.782256841659546
0.001,100,32,32,2,2,128,512,local_global,0.3125,19.931132078170776
0.0005,300,32,32,2,2,128,512,local_global,0.3046875,19.742858171463013
0.0003,1000,32,32,2,2,128,512,local_global,0.3046875,24.114747762680054
0.0005,100,32,32,2,2,128,512,local_global,0.30078125,20.27638006210327
0.0003,100,32,32,2,2,128,512,local_global,0.30078125,24.256654262542725
0.0003,300,32,32,2,2,128,512,local_global,0.30078125,23.60367703437805
0.001,100,32,128,2,2,128,512,local_global,0.28125,82.64529180526733
0.0005,100,32,128,2,2,128,512,local_global,0.28125,82.32716917991638
0.0005,300,32,128,2,2,128,512,local_global,0.28125,81.2498071193695
0.0005,1000,32,128,2,2,128,512,local_global,0.27734375,104.51807403564453
0.001,300,32,128,2,2,128,512,local_global,0.2734375,82.06046319007874
0.0003,100,32,128,2,2,128,512,local_global,0.2734375,104.69151163101196
0.0003,300,32,128,2,2,128,512,local_global,0.2734375,101.52248501777649
0.0005,1000,32,32,2,2,128,512,local_global,0.26953125,19.88917088508606
0.001,1000,32,128,2,2,128,512,local_global,0.265625,83.65436434745789
0.0003,1000,32,128,2,2,128,512,local_global,0.265625,103.18848705291748
0.001,1000,32,32,2,2,128,512,local_global,0.25390625,19.865164041519165
0.001,300,32,64,2,2,128,512,local_global,0.25,35.58437895774841
0.001,100,32,64,2,2,128,512,local_global,0.24609375,36.80739879608154
0.001,1000,32,64,2,2,128,512,local_global,0.24609375,36.19578194618225
0.0005,1000,32,64,2,2,128,512,local_global,0.2421875,42.09759068489075
0.0003,100,32,64,2,2,128,512,local_global,0.2421875,45.01052212715149
0.0003,300,32,64,2,2,128,512,local_global,0.2421875,42.78278088569641
0.0003,1000,32,64,2,2,128,512,local_global,0.2421875,44.27234101295471
0.0005,100,32,64,2,2,128,512,local_global,0.23046875,35.92966866493225
0.0005,300,32,64,2,2,128,512,local_global,0.2265625,36.2931649684906
0.0001,100,32,128,2,2,128,512,local_global,0.16015625,108.11356902122498
0.0001,100,32,64,2,2,128,512,local_global,0.14453125,48.689229011535645
0.0001,100,32,32,2,2,128,512,local_global,0.140625,26.599421739578247
0.0001,300,32,32,2,2,128,512,local_global,0.140625,26.69873309135437
0.0001,300,32,128,2,2,128,512,local_global,0.1328125,114.03560304641724
0.0001,300,32,64,2,2,128,512,local_global,0.12109375,47.732470989227295
0.0001,1000,32,128,2,2,128,512,local_global,0.09765625,115.00837182998657
0.0001,1000,32,64,2,2,128,512,local_global,0.09375,50.06976795196533
0.0001,1000,32,32,2,2,128,512,local_global,0.03125,26.373603105545044
0.001,300,32,64,2,2,128,512,moe,0.296875,40.93974804878235
0.0005,100,32,64,2,2,128,512,moe,0.296875,32.81910991668701
0.0003,100,32,128,2,2,128,512,moe,0.296875,72.54839205741882
0.0005,300,32,64,2,2,128,512,moe,0.29296875,33.21837592124939
0.0005,100,32,128,2,2,128,512,moe,0.28515625,72.0024139881134
0.001,100,32,64,2,2,128,512,moe,0.28125,36.08587288856506
0.0005,1000,32,64,2,2,128,512,moe,0.28125,33.176196813583374
0.001,1000,32,64,2,2,128,512,moe,0.27734375,33.67195200920105
0.001,1000,32,128,2,2,128,512,moe,0.27734375,71.9270589351654
0.0005,300,32,128,2,2,128,512,moe,0.27734375,72.16843700408936
0.001,100,32,128,2,2,128,512,moe,0.2734375,81.57319498062134
