LR,WARMUP_STEPS,CONTEXT_LEN,BETA2,BATCH_SIZE,val_acc_last,time_sec
0.0013000000000000002,200,32,0.98,32,0.4453125,12.516993045806885
0.0013000000000000002,150,32,0.98,32,0.4375,13.051120042800903
0.0013000000000000002,200,32,0.999,32,0.43359375,12.63125491142273
0.0013000000000000002,300,32,0.98,32,0.43359375,12.191224098205566
0.0013000000000000002,150,32,0.999,32,0.43359375,12.968490362167358
0.0013000000000000002,100,32,0.98,32,0.4296875,12.94397521018982
0.0013000000000000002,50,32,0.95,32,0.4296875,16.15383291244507
0.0013000000000000002,150,32,0.95,32,0.4296875,14.843127012252808
0.0013000000000000002,100,32,0.999,32,0.4296875,12.739830017089844
0.0013000000000000002,200,32,0.95,32,0.4296875,12.586199045181274
0.0013000000000000002,300,32,0.95,32,0.42578125,12.315835952758789
0.0013000000000000002,100,32,0.95,32,0.421875,12.517909049987793
0.001,300,32,0.999,32,0.421875,12.330843210220337
0.0013000000000000002,300,32,0.999,32,0.421875,12.303196907043457
0.001,200,32,0.999,32,0.41796875,14.096049070358276
0.0013000000000000002,50,32,0.999,32,0.41796875,13.432362079620361
0.0013000000000000002,50,32,0.98,32,0.41796875,13.5213041305542
0.001,150,32,0.98,32,0.4140625,13.794289112091064
0.001,150,32,0.999,32,0.4140625,12.724155902862549
0.001,200,32,0.98,32,0.41015625,13.72481393814087
0.001,150,32,0.95,32,0.40625,12.082335948944092
0.001,50,32,0.98,32,0.40234375,12.804572820663452
0.001,200,32,0.95,32,0.40234375,13.605217218399048
0.001,50,32,0.999,32,0.3984375,12.803629159927368
0.001,100,32,0.95,32,0.3984375,13.14728331565857
0.001,100,32,0.999,32,0.39453125,13.414803981781006
0.001,300,32,0.98,32,0.39453125,12.958563804626465
0.001,100,32,0.98,32,0.39453125,14.315078973770142
0.001,300,32,0.95,32,0.390625,15.072121143341064
0.001,50,32,0.95,32,0.38671875,12.735362768173218
0.0007,200,32,0.999,32,0.3828125,12.737506628036499
0.0007,100,32,0.999,32,0.37890625,12.629828929901123
0.0007,50,32,0.999,32,0.375,14.2565279006958
0.0007,150,32,0.98,32,0.375,10.512444257736206
0.0013000000000000002,600,32,0.999,32,0.375,15.016333103179932
0.0007,300,32,0.999,32,0.375,12.091223001480103
0.0007,150,32,0.999,32,0.375,11.125685930252075
0.0007,150,32,0.95,32,0.37109375,11.879580020904541
0.0007,200,32,0.98,32,0.37109375,13.43283200263977
0.0007,300,32,0.98,32,0.37109375,12.416942834854126
0.0007,300,32,0.95,32,0.3671875,12.02399730682373
0.0007,50,32,0.98,32,0.36328125,14.344414949417114
0.0013000000000000002,600,32,0.95,32,0.36328125,12.276714086532593
0.001,600,32,0.999,32,0.36328125,14.215561151504517
0.001,600,32,0.98,32,0.36328125,13.053062915802002
0.0007,200,32,0.95,32,0.359375,12.872910022735596
0.0007,100,32,0.98,32,0.359375,13.235347747802734
0.0007,100,32,0.95,32,0.359375,12.817914962768555
0.0013000000000000002,600,32,0.98,32,0.359375,12.865262031555176
0.0007,50,32,0.95,32,0.359375,14.0552339553833
0.0007,600,32,0.999,32,0.35546875,12.401050090789795
0.001,600,32,0.95,32,0.3515625,12.53932499885559
0.0007,600,32,0.98,32,0.34765625,11.608898162841797
0.0007,600,32,0.95,32,0.34765625,12.11376690864563
