MODEL_VARIANT,LR,WARMUP_STEPS,CONTEXT_LEN,BETA2,BATCH_SIZE,N_LAYERS,N_HEADS,D_MODEL,D_FF,val_acc_last,time_sec
local_global,0.0013000000000000002,600,32,0.999,32,2,2,128,512,0.37109375,24.847806930541992
local_global,0.001,600,32,0.999,32,2,2,128,512,0.34765625,22.48508906364441
local_global,0.0013000000000000002,300,32,0.999,32,2,2,128,512,0.34765625,21.937357902526855
local_global,0.001,200,32,0.999,32,2,2,128,512,0.34765625,22.435025215148926
local_global,0.0013000000000000002,100,32,0.999,32,2,2,128,512,0.34765625,22.70673108100891
local_global,0.001,300,32,0.999,32,2,2,128,512,0.34375,22.021667003631592
local_global,0.001,150,32,0.999,32,2,2,128,512,0.33984375,19.624200105667114
local_global,0.0013000000000000002,150,32,0.999,32,2,2,128,512,0.33984375,22.067633867263794
local_global,0.0013000000000000002,600,32,0.98,32,2,2,128,512,0.33984375,23.231126070022583
local_global,0.0013000000000000002,200,32,0.98,32,2,2,128,512,0.33984375,22.758952140808105
local_global,0.0013000000000000002,200,32,0.999,32,2,2,128,512,0.33984375,21.767382860183716
local_global,0.0013000000000000002,300,32,0.9,32,2,2,128,512,0.33203125,22.750936031341553
local_global,0.0007,600,32,0.999,32,2,2,128,512,0.328125,18.76477074623108
local_global,0.0013000000000000002,200,32,0.95,32,2,2,128,512,0.328125,23.072381019592285
local_global,0.001,600,32,0.98,32,2,2,128,512,0.32421875,22.072382926940918
local_global,0.0013000000000000002,150,32,0.95,32,2,2,128,512,0.32421875,21.692414045333862
local_global,0.0013000000000000002,150,32,0.98,32,2,2,128,512,0.32421875,21.96781325340271
local_global,0.0013000000000000002,300,32,0.98,32,2,2,128,512,0.32421875,21.625585794448853
local_global,0.0007,200,32,0.999,32,2,2,128,512,0.32421875,24.692838191986084
local_global,0.0013000000000000002,200,32,0.9,32,2,2,128,512,0.32421875,22.798393726348877
local_global,0.001,300,32,0.9,32,2,2,128,512,0.3203125,21.559205055236816
local_global,0.001,300,32,0.98,32,2,2,128,512,0.3203125,22.87503719329834
